frame_num,track_id,x1,y1,x2,y2,class_id,confidence
15,1,223,478,1016,981,0,0.6062400937080383
16,1,160,409,1007,912,0,0.4053751528263092
17,1,211,341,1019,830,0,0.6122720837593079
18,1,192,272,1028,785,0,0.7160115242004395
19,1,181,218,1016,715,0,0.5659219026565552
20,1,176,192,1011,675,0,0.5597348809242249
21,1,180,183,1020,654,0,0.5787526965141296
22,1,182,190,1030,658,0,0.6232416033744812
23,1,181,198,1031,661,0,0.6020663976669312
24,1,176,210,1024,674,0,0.6058589816093445
25,1,176,221,1028,689,0,0.63399738073349
26,1,169,239,1020,718,0,0.569770097732544
27,1,182,253,1029,730,0,0.5706458687782288
28,1,170,270,1018,741,0,0.5744307041168213
29,1,165,290,1024,768,0,0.5940014719963074
30,1,152,302,1009,772,0,0.6403636932373047
31,1,146,313,1004,776,0,0.685324490070343
59,2,975,284,1081,507,0,0.3753200173377991
60,2,977,281,1085,505,0,0.39350518584251404
61,2,978,282,1083,503,0,0.3346569836139679
62,2,985,284,1097,510,0,0.40923136472702026
66,2,980,281,1107,509,0,0.27405160665512085
67,2,976,286,1101,512,0,0.33791816234588623
71,2,974,288,1088,506,0,0.3662353754043579
72,2,981,286,1098,506,0,0.3316044211387634
73,2,982,282,1098,495,0,0.4503723382949829
74,2,976,297,1089,506,0,0.3672800064086914
75,2,980,308,1092,502,0,0.25735676288604736
85,3,843,443,1082,696,0,0.3889049291610718
86,3,843,439,1073,698,0,0.2705953121185303
90,4,914,601,1019,756,0,0.2972423732280731
93,5,289,442,697,714,0,0.4641730487346649
94,5,287,440,700,718,0,0.43652915954589844
95,5,289,443,698,718,0,0.36243438720703125
96,5,298,451,699,722,0,0.3583429455757141
121,8,-31,326,1946,1059,0,0.25507158041000366
200,11,548,153,1711,803,0,0.527484118938446
201,11,546,146,1709,802,0,0.5475103855133057
202,11,548,134,1712,795,0,0.5328450798988342
203,11,549,130,1712,794,0,0.5393938422203064
204,11,551,132,1711,790,0,0.37682363390922546
205,11,556,140,1714,792,0,0.3834874927997589
206,11,553,138,1708,784,0,0.26388034224510193
207,11,552,138,1706,781,0,0.2819822430610657
218,13,176,92,1813,676,0,0.38717973232269287
219,13,193,89,1823,683,0,0.4112541377544403
220,13,215,95,1818,688,0,0.577444851398468
221,13,168,90,1788,680,0,0.5700749158859253
240,14,584,221,1238,1023,0,0.7199448347091675
241,14,584,227,1238,1029,0,0.7153548002243042
242,14,585,228,1239,1031,0,0.6631942987442017
243,14,587,228,1240,1031,0,0.616500735282898
247,14,590,247,1247,1045,0,0.4535212218761444
283,15,566,48,1469,740,0,0.4024253189563751
284,15,594,15,1672,599,0,0.2769205570220947
322,18,374,143,1237,782,0,0.2637251019477844
